demand_base_MW,renewable_scale,wind_peak_MW,solar_peak_MW,negative_hours,minimum_price_EUR_MWh,average_price_EUR_MWh
40,2.2,109.99999999999999,87.99999999999999,24,-10,-10.0
45,2.2,109.99999999999999,87.99999999999999,22,-10,-9.166666666666666
50,2.2,109.99999999999999,87.99999999999999,19,-10,-7.916666666666667
55,2.2,109.99999999999999,87.99999999999999,17,-10,-7.083333333333333
60,2.2,109.99999999999999,87.99999999999999,15,-10,-6.25
65,2.2,109.99999999999999,87.99999999999999,14,-10,-4.166666666666667
70,2.2,109.99999999999999,87.99999999999999,13,-10,-3.75
75,2.2,109.99999999999999,87.99999999999999,11,-10,0.4166666666666667
80,2.2,109.99999999999999,87.99999999999999,11,-10,0.4166666666666667
85,2.2,109.99999999999999,87.99999999999999,9,-10,2.9166666666666665
90,2.2,109.99999999999999,87.99999999999999,9,-10,4.583333333333333
95,2.2,109.99999999999999,87.99999999999999,7,-10,8.75
100,2.2,109.99999999999999,87.99999999999999,7,-10,8.75
105,2.2,109.99999999999999,87.99999999999999,6,-10,14.166666666666666
110,2.2,109.99999999999999,87.99999999999999,4,-10,18.333333333333332
115,2.2,109.99999999999999,87.99999999999999,3,-10,24.583333333333332
120,2.2,109.99999999999999,87.99999999999999,0,0,32.5
30,2.3,114.99999999999999,92.0,24,-10,-10.0
35,2.3,114.99999999999999,92.0,24,-10,-10.0
40,2.3,114.99999999999999,92.0,24,-10,-10.0
45,2.3,114.99999999999999,92.0,24,-10,-10.0
50,2.3,114.99999999999999,92.0,19,-10,-7.916666666666667
55,2.3,114.99999999999999,92.0,17,-10,-7.083333333333333
60,2.3,114.99999999999999,92.0,16,-10,-6.666666666666667
65,2.3,114.99999999999999,92.0,14,-10,-4.166666666666667
70,2.3,114.99999999999999,92.0,13,-10,-3.75
75,2.3,114.99999999999999,92.0,12,-10,-1.6666666666666667
80,2.3,114.99999999999999,92.0,11,-10,0.4166666666666667
85,2.3,114.99999999999999,92.0,11,-10,0.4166666666666667
90,2.3,114.99999999999999,92.0,9,-10,2.9166666666666665
95,2.3,114.99999999999999,92.0,9,-10,4.583333333333333
100,2.3,114.99999999999999,92.0,7,-10,8.75
105,2.3,114.99999999999999,92.0,7,-10,8.75
110,2.3,114.99999999999999,92.0,5,-10,16.25
115,2.3,114.99999999999999,92.0,4,-10,20.833333333333332
120,2.3,114.99999999999999,92.0,3,-10,24.583333333333332
30,2.4,119.99999999999997,95.99999999999997,24,-10,-10.0
35,2.4,119.99999999999997,95.99999999999997,24,-10,-10.0
40,2.4,119.99999999999997,95.99999999999997,24,-10,-10.0
45,2.4,119.99999999999997,95.99999999999997,24,-10,-10.0
50,2.4,119.99999999999997,95.99999999999997,21,-10,-8.75
55,2.4,119.99999999999997,95.99999999999997,19,-10,-7.916666666666667
60,2.4,119.99999999999997,95.99999999999997,17,-10,-7.083333333333333
65,2.4,119.99999999999997,95.99999999999997,16,-10,-6.666666666666667
70,2.4,119.99999999999997,95.99999999999997,14,-10,-4.166666666666667
75,2.4,119.99999999999997,95.99999999999997,13,-10,-3.75
80,2.4,119.99999999999997,95.99999999999997,12,-10,-1.6666666666666667
